solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.001,0.0,0.0
52.941,0.0,0.0,0.001,0.0,0.002,0.0,0.0
38.462,0.0,0.0,0.0,0.0,0.003,0.0,0.0
19.444,0.0,0.0,0.0,0.0,0.003,0.0,0.0
9.302,0.0,0.0,0.0,0.0,0.004,0.0,0.0
38.298,0.0,0.0,0.0,0.0,0.005,0.0,0.0
7.692,0.0,0.0,0.0,0.0,0.005,0.0,0.0
15.714,0.0,0.0,0.0,0.0,0.006,0.0,0.0
11.111,0.0,0.0,0.0,0.0,0.006,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
31.956,0.0,0.0,0.0,0.0,0.01,0.0,0.0
-47.054,-0.0,0.0,0.0,0.0,0.005,0.0,0.0
12.888,0.0,0.0,0.0,0.0,0.006,0.0,0.0
1779.148,0.004,0.004,0.0,0.0,0.107,0.0,0.0
406.38,0.018,0.022,0.238,0.01,0.534,0.008,0.002
84.438,0.019,0.041,0.236,0.01,0.969,0.008,0.004
5.771,0.002,0.043,0.467,0.02,1.009,0.015,0.004
-7.909,-0.004,0.04,0.231,0.01,0.914,0.007,0.004
-2.792,-0.001,0.038,0.229,0.01,0.875,0.007,0.004
15.021,0.005,0.044,0.454,0.02,0.992,0.014,0.004
558.646,0.242,0.286,2.477,0.11,6.441,0.079,0.029
639.571,1.822,2.108,17.655,0.79,47.11,0.593,0.227
68.108,1.423,3.531,29.532,1.33,78.397,0.959,0.406
63.842,2.233,5.764,47.927,2.17,127.296,1.479,0.597
33.373,1.895,7.659,63.942,2.91,168.291,2.025,0.765
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
